RDSI ID,Road Type,Road Name,Road Width (m),Road Length (m),Road Median Available,Road Pedestrian Available,Road Street Light Available,Road under ground Available,Road Bus Shelter Available
1000450300084,ULB ROAD,PATHI GOUNDER THOTTAM,4.56,112.05,Not Available,Not Available,Available,Not Available,Not Available
1000450300085,ULB ROAD,PATHI GOUNDER THOTTAM,4.56,108.60,Not Available,Not Available,Available,Not Available,Not Available
1000450300087,ULB ROAD,PATHI GOUNDER THOTTAM,4.56,47.96,Not Available,Not Available,Available,Not Available,Not Available
1000450300088,ULB ROAD,VEDHAMBAL NAGAR,4.56,121.66,Not Available,Not Available,Available,Not Available,Not Available
1000450300089,ULB ROAD,PERIYASAMY LAYOUT,4.54,53.70,Not Available,Not Available,Available,Not Available,Not Available
1000450300090,ULB ROAD,PERIYASAMY LAYOUT,6.04,91.77,Not Available,Not Available,Available,Not Available,Not Available
1000450300091,ULB ROAD,SANGANOOR ROAD CROSS,4.24,170.70,Not Available,Not Available,Available,Not Available,Not Available
1000450300092,ULB ROAD,THANDAL RAMAN  STREET,4.21,91.69,Not Available,Not Available,Available,Not Available,Not Available
1000450300093,ULB ROAD,GANDHI NAGAR,5.55,46.17,Not Available,Not Available,Available,Not Available,Not Available
1000450300094,ULB ROAD,GANDHI NAGAR,5.55,35.67,Not Available,Not Available,Available,Not Available,Not Available
1000450300095,ULB ROAD,GANDHI NAGAR,6.77,70.51,Not Available,Not Available,Available,Not Available,Not Available
1000450300096,ULB ROAD,PATHI GOUNDER THOTTAM,4.56,114.47,Not Available,Not Available,Available,Not Available,Not Available
1000450300097,ULB ROAD,KAMARAJAPURAM  FIRST STREET,4.12,119.82,Not Available,Not Available,Available,Not Available,Not Available
1000450300098,ULB ROAD,PATHI GOUNDER THOTTAM,4.21,57.55,Not Available,Not Available,Available,Not Available,Not Available
1000450300099,ULB ROAD,LENIN NAGAR,4.22,37.16,Not Available,Not Available,Not Available,Not Available,Not Available
1000470300404,ULB ROAD,GANESH LAYOUT MAIN ROAD,7.56,6.20,Not Available,Not Available,Not Available,Not Available,Not Available
1000460300273,ULB ROAD,GANESH LAYOUT MAIN ROAD,9.99,31.89,Not Available,Not Available,Not Available,Not Available,Not Available
1000450300100,ULB ROAD,JAYAPRAKASH NAGAR MAIN ROAD,7.71,15.94,Not Available,Not Available,Not Available,Not Available,Not Available
1000450300167,ULB ROAD,THAIR ETTERY ROAD,5.12,51.44,Not Available,Not Available,Available,Not Available,Not Available
1000450300168,ULB ROAD,THAIR ETTERY ROAD,5.12,31.69,Not Available,Not Available,Not Available,Not Available,Not Available
1000450300169,ULB ROAD,THAIR ETTERY ROAD,5.12,42.89,Not Available,Not Available,Available,Not Available,Not Available
1000450300170,ULB ROAD,THAIR ETTERY ROAD,5.12,25.39,Not Available,Not Available,Not Available,Not Available,Not Available
1000450300171,ULB ROAD,THAIR ETTERY ROAD,5.12,24.20,Not Available,Not Available,Not Available,Not Available,Not Available
1000450300172,ULB ROAD,THAIR ETTERY ROAD,5.12,106.26,Not Available,Not Available,Available,Not Available,Not Available
1000450300173,ULB ROAD,MURUGAN NAGAR (III) STREET,4.48,30.97,Not Available,Not Available,Not Available,Not Available,Not Available
1000450300174,ULB ROAD,MURUGAN NAGAR (III) STREET,4.48,30.75,Not Available,Not Available,Not Available,Not Available,Not Available
1000450300175,ULB ROAD,ANBU NAGAR / THILAI NAGAR,5.35,30.80,Not Available,Not Available,Not Available,Not Available,Not Available
1000450300176,ULB ROAD,KUMARASAMY ST/ THILAI NAGAR,5.35,33.88,Not Available,Not Available,Not Available,Not Available,Not Available
1000450300177,ULB ROAD,KUMARASAMY ST/ THILAI NAGAR,5.35,33.41,Not Available,Not Available,Not Available,Not Available,Not Available
1000450300178,ULB ROAD,SARADHAMANI STREET,5.35,33.84,Not Available,Not Available,Not Available,Not Available,Not Available
1000450300179,ULB ROAD,PAL MARIAMMAN KOVIL STREET,5.35,33.85,Not Available,Not Available,Available,Not Available,Not Available
1000450300180,ULB ROAD,RAMAR STREET,5.35,41.03,Not Available,Not Available,Available,Not Available,Not Available
1000450300181,ULB ROAD,LAKSHMIAMMAL STREET,5.35,39.14,Not Available,Not Available,Available,Not Available,Not Available
1000450300182,ULB ROAD,LAKSHMIAMMAL STREET,5.35,34.13,Not Available,Not Available,Available,Not Available,Not Available
1000450300183,ULB ROAD,LAKSHMIAMMAL STREET,5.35,33.88,Not Available,Not Available,Available,Not Available,Not Available
1000450300184,ULB ROAD,LAKSHMIAMMAL STREET,5.35,33.80,Not Available,Not Available,Available,Not Available,Not Available
1000450300185,ULB ROAD,LAKSHMIAMMAL STREET,5.35,32.15,Not Available,Not Available,Not Available,Not Available,Not Available
1000450300186,ULB ROAD,BALUSAMY NAGAR,4.06,227.84,Not Available,Not Available,Available,Not Available,Not Available
1000450300188,ULB ROAD,S P KANNUSAMY STREET,10.65,18.65,Available,Not Available,Not Available,Not Available,Not Available
1000450300189,ULB ROAD,S P KANNUSAMY STREET,10.65,46.12,Available,Not Available,Available,Not Available,Not Available
1000450300190,ULB ROAD,S P KANNUSAMY STREET,10.65,16.86,Available,Not Available,Not Available,Not Available,Not Available
1000450300191,ULB ROAD,S P KANNUSAMY STREET,9.06,43.90,Not Available,Not Available,Not Available,Not Available,Not Available
1000450300192,ULB ROAD,ARUL NAGAR,4.52,5.55,Not Available,Not Available,Not Available,Not Available,Not Available
1000450300193,ULB ROAD,S P KANNUSAMY STREET,8.93,95.47,Not Available,Not Available,Available,Not Available,Not Available
1000450300194,ULB ROAD,S P KANNUSAMY STREET,8.05,63.39,Not Available,Not Available,Available,Not Available,Not Available
1000250300007,STATE HIGHWAY,METTUPALAYAM ROAD,20.02,26.74,Not Available,Not Available,Available,Available,Not Available
1000450300195,ULB ROAD,S P KANNUSAMY STREET,9.75,21.55,Not Available,Not Available,Not Available,Not Available,Not Available
1000450300196,ULB ROAD,S P KANNUSAMY STREET,9.75,27.87,Not Available,Not Available,Available,Not Available,Not Available
1000450300197,ULB ROAD,S P KANNUSAMY STREET,9.75,62.49,Not Available,Not Available,Available,Not Available,Not Available
1000450300198,ULB ROAD,S P KANNUSAMY STREET,9.75,73.47,Not Available,Not Available,Available,Not Available,Not Available
1000450300199,ULB ROAD,S P KANNUSAMY STREET,9.75,63.81,Not Available,Not Available,Available,Not Available,Not Available
